date,Energy,Financials,Health_Care,Consumer_Discretionary,Industrial,Materials,Technology,Utilities,Consumer_Staples,REIT
2000-01-01,13.73921012878418,11.262170791625977,20.805288314819336,22.47834014892578,18.318471908569336,14.739736557006836,41.48851776123047,11.339872360229492,12.474515914916992,16.64982795715332
2000-02-01,14.094813346862793,11.416021347045898,20.944786071777344,21.032636642456055,17.14751625061035,13.480380058288574,38.63532257080078,11.333420753479004,12.611597061157227,16.64982795715332
2000-03-01,13.868510246276855,10.277497291564941,19.485509872436523,18.945695877075195,16.224653244018555,11.786458969116211,42.236900329589844,10.46856689453125,11.146525382995605,16.64982795715332
2000-04-01,15.471903800964355,12.56973934173584,21.052082061767578,22.533870697021484,18.664520263671875,13.53903579711914,43.406246185302734,11.196822166442871,12.2051362991333,16.64982795715332
2000-05-01,15.228629112243652,11.8362398147583,20.88040542602539,22.078277587890625,19.29098129272461,12.658954620361328,41.74577331542969,11.853544235229492,12.445796966552734,16.64982795715332
2000-06-01,16.590932846069336,12.785923957824707,20.129314422607422,20.419490814208984,18.923057556152344,12.312255859375,38.541770935058594,11.912065505981445,13.202167510986328,16.64982795715332
2000-07-01,15.921537399291992,11.993355751037598,20.258066177368164,19.42860221862793,18.274642944335938,11.539499282836914,40.833683013916016,11.766467094421387,13.93909740447998,16.64982795715332
2000-08-01,15.505979537963867,12.899825096130371,20.17222785949707,19.756315231323242,18.45400619506836,11.334068298339844,37.95708084106445,11.85818862915039,13.852951049804688,16.64982795715332
2000-09-01,17.05413246154785,13.883777618408203,20.68726348876953,19.04238510131836,20.307376861572266,11.468039512634277,42.33047103881836,12.198859214782715,13.163748741149902,16.64982795715332
2000-10-01,17.51248550415039,14.62513542175293,20.21514892578125,18.397388458251953,19.3436279296875,10.20595932006836,34.44903564453125,13.726950645446777,13.801863670349121,16.64982795715332
2000-11-01,17.234249114990234,14.236588478088379,20.39755630493164,18.60858726501465,20.003063201904297,11.275070190429688,32.08694839477539,14.35450267791748,14.770425796508789,16.64982795715332
2000-12-01,16.170408248901367,13.490559577941895,18.541288375854492,18.021940231323242,19.4735107421875,11.445764541625977,26.345441818237305,14.156329154968262,15.073095321655273,16.64982795715332
2001-01-01,17.47455596923828,14.312631607055664,17.954374313354492,19.231538772583008,19.173328399658203,12.389211654663086,22.077327728271484,14.02232551574707,15.646255493164062,16.64982795715332
2001-02-01,16.662626266479492,14.711052894592285,20.3372859954834,21.477214813232422,19.880050659179688,12.36561393737793,27.899742126464844,13.5986967086792,14.826130867004395,16.64982795715332
2001-03-01,16.86225128173828,13.717668533325195,19.61609649658203,19.647926330566406,18.80129051208496,12.471805572509766,21.55345344543457,13.564382553100586,14.648499488830566,16.64982795715332
2001-04-01,15.87539291381836,13.352364540100098,18.197656631469727,19.687929153442383,17.000274658203125,11.901204109191895,18.110889434814453,13.56112289428711,13.577959060668945,16.64982795715332
2001-05-01,17.730073928833008,13.888263702392578,20.093677520751953,20.81942367553711,19.25409507751465,13.246611595153809,22.077327728271484,14.304200172424316,14.184764862060547,16.64982795715332
2001-06-01,17.598350524902344,14.35404109954834,20.478378295898438,21.008010864257812,19.820775985717773,13.714832305908203,21.02959442138672,14.148675918579102,14.424145698547363,16.64982795715332
2001-07-01,16.024084091186523,14.452125549316406,20.452491760253906,21.121536254882812,18.921510696411133,13.269700050354004,21.066999435424805,13.592817306518555,13.889213562011719,16.64982795715332
2001-08-01,15.822911262512207,14.200785636901855,19.882081985473633,21.82457160949707,18.715003967285156,13.037519454956055,20.146488189697266,13.588455200195312,13.989733695983887,16.64982795715332
2001-09-01,15.298839569091797,13.150178909301758,18.80997657775879,20.040496826171875,17.80506706237793,13.043471336364746,16.853605270385742,13.088088035583496,14.073497772216797,16.1931095123291
2001-10-01,13.55360221862793,12.426054954528809,15.854448318481445,17.40144157409668,15.203405380249023,11.534476280212402,14.21928882598877,12.939014434814453,14.15746021270752,15.173060417175293
2001-11-01,14.517144203186035,12.486649513244629,16.46634864807129,18.67527198791504,15.93570327758789,12.067482948303223,16.531801223754883,12.255017280578613,14.27511215209961,14.762404441833496
2001-12-01,13.681360244750977,12.90068244934082,18.13705062866211,20.472286224365234,17.024436950683594,12.983773231506348,18.1033992767334,12.022631645202637,14.56083869934082,15.523168563842773
2002-01-01,14.16538143157959,13.322062492370605,18.720186233520508,21.78784942626953,17.951162338256836,13.005059242248535,18.410247802734375,12.562037467956543,14.229915618896484,15.965859413146973
2002-02-01,13.83930778503418,13.022859573364258,18.38958740234375,22.205533981323242,16.68744468688965,13.149686813354492,17.437349319458008,11.965531349182129,14.19618034362793,15.936174392700195
2002-03-01,14.437996864318848,13.134419441223145,19.636228561401367,22.76750946044922,17.640090942382812,14.113919258117676,16.23244857788086,12.17320442199707,14.758407592773438,16.287002563476562
2002-04-01,15.602270126342773,13.788728713989258,20.20313835144043,22.415996551513672,17.698169708251953,14.25812816619873,16.397083282470703,12.423173904418945,14.688274383544922,17.282997131347656
2002-05-01,15.028379440307617,13.554676055908203,20.63034439086914,22.324748992919922,16.534748077392578,13.677655220031738,14.136971473693848,11.902022361755371,14.372527122497559,17.4373836517334
2002-06-01,14.213139533996582,13.157809257507324,20.19624900817871,21.503538131713867,15.930298805236816,14.11301040649414,13.261359214782715,11.425402641296387,13.690261840820312,17.553512573242188
2002-07-01,14.002031326293945,12.582518577575684,18.278369903564453,20.2933406829834,15.193656921386719,14.007479667663574,11.3380126953125,10.681358337402344,12.708305358886719,17.6899471282959
